filename,IoU_500,F1_Score_500,IoU_1000,F1_Score_1000
dart15.jpg,0.3262606778726922,1.0,0.48749650749268164,0.5
dart14.jpg,0.39214246651559326,0.33333333333333337,0.2555405228814017,0.28
dart13.jpg,0.3535088434663816,0.6666666666666666,0.3184644915850994,0.6666666666666666
dart12.jpg,0.37731435657498463,1.0,0.20458303512381493,1.0
dart11.jpg,0.3618421052631579,0.6666666666666666,0.3904293120331162,0.6
dart10.jpg,0.4296311361641972,0.2439024390243902,0.2995837141739823,0.3548387096774194
dart9.jpg,0.17484813573523253,0.3333333333333333,0.10611769466326838,0.30769230769230765
dart8.jpg,0.3534699527754645,0.2857142857142857,0.14832210089677442,0.1111111111111111
dart7.jpg,0.20027439454000107,0.8,0.09146915243618778,0.1739130434782609
dart6.jpg,0.3393741693850429,1.0,0.23317644558117448,0.7999999999999999
dart5.jpg,0.34233443070250164,0.4,0.1499616949992678,0.25
dart4.jpg,0.31624402415110864,1.0,0.18384666984576856,0.6153846153846154
dart3.jpg,0.1988604907196432,0.5,0.20835997381287036,0.2857142857142857
dart2.jpg,0.35652673006833563,0.8,0.18632910155629426,0.4615384615384615
dart1.jpg,0.4764012667188289,0.8571428571428571,0.13401177398133554,0.4444444444444444
dart0.jpg,0.30933651534088347,0.8,0.2574335779809845,0.5555555555555556
