filename,F1_Score_GT_PT_1000,F1_Score_GT_PT_500,F1_Score_PT_500_1000_H,F1_Score_GT_PT
dart15.jpg,0.5,1.0,0.5,1.0
dart14.jpg,0.28,0.33333333333333337,0.17989417989417988,0.6666666666666666
dart13.jpg,0.6666666666666666,0.6666666666666666,0.3448275862068965,1.0
dart12.jpg,1.0,1.0,0.8750000000000001,1.0
dart11.jpg,0.6,0.6666666666666666,0.5263157894736842,1.0
dart10.jpg,0.3548387096774194,0.2439024390243902,0.2183406113537118,0.5
dart9.jpg,0.30769230769230765,0.3333333333333333,0.21138211382113822,1.0
dart8.jpg,0.1111111111111111,0.2857142857142857,0.14545454545454545,0.6666666666666666
dart7.jpg,0.1739130434782609,0.8,0.14705882352941177,1.0
dart6.jpg,0.7999999999999999,1.0,0.6153846153846154,1.0
dart5.jpg,0.25,0.4,0.2635658914728682,1.0
dart4.jpg,0.6153846153846154,1.0,0.6153846153846153,1.0
dart3.jpg,0.2857142857142857,0.5,0.28571428571428575,1.0
dart2.jpg,0.4615384615384615,0.8,0.2608695652173913,1.0
dart1.jpg,0.4444444444444444,0.8571428571428571,0.35294117647058826,1.0
dart0.jpg,0.5555555555555556,0.8,0.375,1.0
